Zoekwoord,Thema,Cluster,Laag,Herkomst,Volume Vlaanderen,Volume Nederland,Moeilijkheid,Intentie,SERP-features,VisitArdenne positie,In FR-onderzoek,In eerder universum
glamping in luxemburg,Bijzonder overnachten,glamping luxemburg,CORE,MARKET-DISCOVERED,30,110,0,informational,,,0,0
luxemburg glamping,Bijzonder overnachten,glamping luxemburg,CORE,MARKET-DISCOVERED,30,110,0,navigational,,,0,0
boomhut overnachten belgië,Bijzonder overnachten,overnachten in een boomhut belgie,CORE,MARKET-DISCOVERED,110,30,1,transactional,,,0,1
natuurhuisje ardennen met hond,Bijzonder overnachten,natuurhuisje ardennen met hond,CORE,MARKET-DISCOVERED,30,110,0,transactional,,,0,0
natuurhuisje durbuy,Bijzonder overnachten,natuurhuisje durbuy,CORE,MARKET-DISCOVERED,50,90,8,navigational,,,0,1
mooie camperplaatsen aan het water,Bijzonder overnachten,mooie camperplaatsen aan het water,DEMANDGEN,MARKET-DISCOVERED,30,110,0,informational,,,0,0
mooiste camperplaatsen aan het water,Bijzonder overnachten,mooiste camperplaatsen aan het water,DEMANDGEN,MARKET-DISCOVERED,30,110,0,informational,,,0,0
camperplaatsen ardennen,Bijzonder overnachten,camperplaatsen in ardennen,CORE,MARKET-DISCOVERED,90,50,0,informational,,,0,0
ardennen camperplaatsen,Bijzonder overnachten,camperplaatsen in ardennen,CORE,MARKET-DISCOVERED,90,50,0,informational,,,0,1
wat is een roadtrip,Routes & roadtrips,wat is een road trip,DEMANDGEN,MARKET-DISCOVERED,30,110,2,informational,,,0,0
camperplaatsen in ardennen,Bijzonder overnachten,camperplaatsen in ardennen,CORE,MARKET-DISCOVERED,90,50,,informational,,,0,0
grootste kerstmarkten belgie,Evenementen & kerstmarkten,grootste kerstmarkt belgië,CORE,MARKET-DISCOVERED,90,50,1,informational,,,0,0
kerstmarkten top 10,Evenementen & kerstmarkten,kerstmarkten top 10,DEMANDGEN,MARKET-DISCOVERED,30,110,9,informational,,,0,0
vakantie dichtbij,Praktische planning,dichtbij vakantie,DEMANDGEN,MARKET-DISCOVERED,90,50,0,commercial,,,0,0
dichtbij op vakantie,Praktische planning,dichtbij vakantie,DEMANDGEN,MARKET-DISCOVERED,90,50,14,informational,,,0,0
op vakantie met de trein,Duurzaam reizen,met de trein op vakantie,DEMANDGEN,MARKET-DISCOVERED,30,110,21,informational,,,0,0
boomhut overnachting 2 personen,Uit concurrent- & SERP-analyse,boomhut overnachting 2 personen,DEMANDGEN,SERP-DISCOVERED,30,110,,,,,0,0
boomhut overnachting met jacuzzi,Uit concurrent- & SERP-analyse,boomhut overnachting met jacuzzi,DEMANDGEN,SERP-DISCOVERED,30,110,,,,,0,0
houten huisje ardennen,Uit concurrent- & SERP-analyse,houten huisje ardennen,CORE,SERP-DISCOVERED,70,70,,,,2,0,0
romantisch weekendje weg met wellness,Weekend & korte vakantie,romantisch weekendje weg met wellness,DEMANDGEN,MARKET-DISCOVERED,40,90,0,commercial,,,0,0
midweek weg buitenland,Weekend & korte vakantie,midweek weg buitenland,DEMANDGEN,MARKET-DISCOVERED,20,110,10,informational,,,0,0
een weekendje weg,Weekend & korte vakantie,weekendje weg,DEMANDGEN,MARKET-DISCOVERED,40,90,16,informational,,,0,0
last minute korte vakantie,Weekend & korte vakantie,korte last minute vakantie,DEMANDGEN,MARKET-DISCOVERED,20,110,59,commercial,,,0,0
korte vakantie last minute,Weekend & korte vakantie,korte last minute vakantie,DEMANDGEN,MARKET-DISCOVERED,20,110,59,commercial,,,0,0
korte vakantie alleen,Weekend & korte vakantie,korte vakantie alleen,DEMANDGEN,MARKET-DISCOVERED,20,110,0,commercial,,,0,0
korte last minute vakantie,Weekend & korte vakantie,korte last minute vakantie,DEMANDGEN,MARKET-DISCOVERED,20,110,59,commercial,,,0,0
mooiste natuurgebieden,Natuur,mooiste natuurgebieden,DEMANDGEN,MARKET-DISCOVERED,20,110,0,informational,,,0,0
mooie natuurgebieden,Natuur,mooi natuurgebied,DEMANDGEN,MARKET-DISCOVERED,20,110,25,informational,,,0,0
de mooiste wandelingen in de ardennen,Wandelen,mooiste wandelingen ardennen,CORE,MARKET-DISCOVERED,110,20,0,informational,,2,0,1
mooiste wandelingen in de ardennen,Wandelen,mooiste wandelingen ardennen,CORE,MARKET-DISCOVERED,110,20,0,informational,,2,0,1
individuele wandelvakantie,Wandelen,individuele wandelvakantie,DEMANDGEN,MARKET-DISCOVERED,20,110,3,commercial,,,0,0
wandelen in barvaux,Wandelen,wandelingen barvaux,CORE,MARKET-DISCOVERED,110,20,0,informational,,,0,0
barvaux wandelen,Wandelen,wandelingen barvaux,CORE,MARKET-DISCOVERED,110,20,0,informational,,,0,0
wandelvakantie individueel,Wandelen,wandelvakantie individueel,DEMANDGEN,MARKET-DISCOVERED,20,110,6,informational,,,0,0
wandelen met hond in de buurt,Wandelen,wandelen in de buurt met hond,DEMANDGEN,MARKET-DISCOVERED,90,40,0,informational,,,0,1
fietsknooppunten belgië,Fietsen & mountainbike,knooppunten fietsen belgie,CORE,MARKET-DISCOVERED,90,40,34,informational,,,0,0
dagje uit shoppen,Dagje uit,dagje shoppen,DEMANDGEN,MARKET-DISCOVERED,20,110,22,navigational,,,0,0
wat te doen in durbuy dit weekend,Dagje uit,wat te doen in durbuy dit weekend,CORE,MARKET-DISCOVERED,90,40,0,informational,,,0,1
mooiste pretparken europa,Attracties,mooiste pretpark europa,DEMANDGEN,MARKET-DISCOVERED,20,110,0,informational,,,0,0
bier brouwerij bezoeken,Streek & culinair,bierbrouwerij bezoeken,DEMANDGEN,MARKET-DISCOVERED,20,110,7,informational,,,0,0
natuurhuisje met omheinde tuin,Bijzonder overnachten,natuurhuisje met omheinde tuin,DEMANDGEN,MARKET-DISCOVERED,20,110,5,transactional,,,0,0
gratis camperplaatsen aan het water,Bijzonder overnachten,gratis camperplaatsen aan het water,DEMANDGEN,MARKET-DISCOVERED,40,90,0,informational,,,0,0
mooiste kerstmarkten belgië,Evenementen & kerstmarkten,mooiste kerstmarkt belgië,CORE,MARKET-DISCOVERED,110,20,0,informational,,,0,0
kerstmarkten zondag,Evenementen & kerstmarkten,kerstmarkten zondag,DEMANDGEN,MARKET-DISCOVERED,20,110,16,informational,,,0,0
vakantie luxemburg mullerthal,Substituut-bestemmingen,vakantie luxemburg mullerthal,CORE,MARKET-DISCOVERED,20,110,0,informational,,,0,0
weekendje weg met hond en jacuzzi,Uit concurrent- & SERP-analyse,weekendje weg met hond en jacuzzi,DEMANDGEN,SERP-DISCOVERED,20,110,,,,,0,0
mooiste kerstmarkt belgië,Uit concurrent- & SERP-analyse,mooiste kerstmarkt belgië,DEMANDGEN,SERP-DISCOVERED,110,20,,,,14,0,0
romantisch weekendje weg belgië,Weekend & korte vakantie,romantisch weekendje weg belgië,CORE,MARKET-DISCOVERED,110,10,0,commercial,,,1,1
midweek weg aanbiedingen,Weekend & korte vakantie,aanbiedingen midweek weg,DEMANDGEN,MARKET-DISCOVERED,10,110,5,commercial,,,0,0
midweek weg aan zee,Weekend & korte vakantie,midweek weg aan zee,DEMANDGEN,MARKET-DISCOVERED,10,110,0,informational,,,0,0
aanbiedingen midweek weg,Weekend & korte vakantie,aanbiedingen midweek weg,DEMANDGEN,MARKET-DISCOVERED,10,110,7,commercial,,,0,0
midweek weg zee,Weekend & korte vakantie,midweek weg zee,DEMANDGEN,MARKET-DISCOVERED,10,110,0,informational,,,0,0
midweek weg aanbieding,Weekend & korte vakantie,aanbiedingen midweek weg,DEMANDGEN,MARKET-DISCOVERED,10,110,8,commercial,,,0,0
aanbieding midweek weg,Weekend & korte vakantie,aanbiedingen midweek weg,DEMANDGEN,MARKET-DISCOVERED,10,110,7,commercial,,,0,0
korte vakantie bestemmingen,Weekend & korte vakantie,korte vakantie bestemmingen,DEMANDGEN,MARKET-DISCOVERED,30,90,0,informational,,,0,0
wandelroutes dinant,Wandelen,wandelroutes dinant,CORE,MARKET-DISCOVERED,70,50,0,informational,,,0,1
dinant wandelroutes,Wandelen,wandelroutes dinant,CORE,MARKET-DISCOVERED,70,50,0,informational,,,0,1
wandelvakantie kinderen,Wandelen,wandelvakantie kinderen,DEMANDGEN,MARKET-DISCOVERED,50,70,0,informational,,,0,0
wandelvakantie met kinderen,Wandelen,wandelvakantie kinderen,DEMANDGEN,MARKET-DISCOVERED,50,70,0,informational,,,0,0
wandelvakantie voor singles,Wandelen,wandelvakantie singles,DEMANDGEN,MARKET-DISCOVERED,30,90,0,commercial,,,0,0
single wandelvakantie,Wandelen,single wandelvakantie,DEMANDGEN,MARKET-DISCOVERED,10,110,23,informational,,,0,0
mooie fietsroutes belgie,Fietsen & mountainbike,mooie fietsroutes in belgie,CORE,MARKET-DISCOVERED,90,30,0,informational,,,0,1
fietsvakantie voor alleenstaande senioren,Fietsen & mountainbike,fietsvakantie voor alleenstaande senioren,DEMANDGEN,MARKET-DISCOVERED,10,110,2,transactional,,,0,0
dagje uit met kleine kinderen,Dagje uit,dagje uit met kleine kinderen,DEMANDGEN,MARKET-DISCOVERED,10,110,32,informational,,,0,0
dagje uit tips,Dagje uit,tips dagje uit,DEMANDGEN,MARKET-DISCOVERED,10,110,57,informational,,,0,0
dagje uit met partner,Dagje uit,dagje uit partner,DEMANDGEN,MARKET-DISCOVERED,10,110,10,informational,,,0,0
dagje uit deal,Dagje uit,dagje uit deals,DEMANDGEN,MARKET-DISCOVERED,10,110,26,informational,,,0,0
dagje uit met vrienden,Dagje uit,dagje uit met vrienden,DEMANDGEN,MARKET-DISCOVERED,10,110,0,informational,,,0,0
tip dagje uit,Dagje uit,tips dagje uit,DEMANDGEN,MARKET-DISCOVERED,10,110,44,informational,,,0,0
tips voor dagje uit,Dagje uit,tips dagje uit,DEMANDGEN,MARKET-DISCOVERED,10,110,57,informational,,,0,0
leuke stad voor dagje weg,Dagje uit,leuke stad voor dagje weg,DEMANDGEN,MARKET-DISCOVERED,10,110,32,informational,,,0,0
leukste uitjes voor kinderen,Dagje uit,leukste uitjes met kinderen,DEMANDGEN,MARKET-DISCOVERED,10,110,35,informational,,,0,0
leuke steden voor dagje weg,Dagje uit,leuke steden dagje weg,DEMANDGEN,MARKET-DISCOVERED,10,110,32,informational,,,0,0
leuke stad dagje weg,Dagje uit,leuke stad voor dagje weg,DEMANDGEN,MARKET-DISCOVERED,10,110,32,informational,,,0,0
leuk dagje weg met kinderen,Dagje uit,leuk dagje weg met kinderen,DEMANDGEN,MARKET-DISCOVERED,10,110,35,informational,,,0,0
leuke steden dagje weg,Dagje uit,leuke steden dagje weg,DEMANDGEN,MARKET-DISCOVERED,10,110,36,informational,,,0,0
abonnementen pretparken,Attracties,pretparken abonnement,DEMANDGEN,MARKET-DISCOVERED,30,90,0,commercial,,,0,0
pretparken abonnement,Attracties,pretparken abonnement,DEMANDGEN,MARKET-DISCOVERED,30,90,0,commercial,,,0,0
pretparken voor volwassenen,Attracties,pretpark volwassenen,DEMANDGEN,MARKET-DISCOVERED,30,90,22,informational,,,0,0
pretparken ardennen,Attracties,pretpark ardennen,CORE,MARKET-DISCOVERED,50,70,6,navigational,,,0,1
pretparken in ardennen,Attracties,pretpark ardennen,CORE,MARKET-DISCOVERED,50,70,5,informational,,,0,0
streekproducten centrum,Streek & culinair,streekproducten centrum,DEMANDGEN,MARKET-DISCOVERED,110,10,4,navigational,,,0,0
glamping-place-de-la-famille,Bijzonder overnachten,glamping-place-de-la-famille,CORE,MARKET-DISCOVERED,10,110,0,navigational,,,0,0
glamping place de la famille,Bijzonder overnachten,glamping place de la famille,CORE,MARKET-DISCOVERED,10,110,0,navigational,,,0,0
glamping weekend resort,Bijzonder overnachten,weekend glamping resort,DEMANDGEN,MARKET-DISCOVERED,10,110,8,commercial,,,0,0
natuurhuisje hot tub,Bijzonder overnachten,natuurhuisje met hot tub,DEMANDGEN,MARKET-DISCOVERED,10,110,2,transactional,,,0,0
ardennen natuurhuisje,Bijzonder overnachten,natuurhuisje ardennen,CORE,MARKET-DISCOVERED,10,110,0,navigational,,,0,0
natuurhuisje hottub,Bijzonder overnachten,natuurhuisje met hottub,DEMANDGEN,MARKET-DISCOVERED,10,110,2,transactional,,,0,0
wellness weekend met behandelingen,Bijzonder overnachten,wellness weekend met behandelingen,DEMANDGEN,MARKET-DISCOVERED,10,110,0,commercial,,,0,0
camperplaatsen met prive sanitair,Bijzonder overnachten,camperplaats met prive sanitair,DEMANDGEN,MARKET-DISCOVERED,10,110,0,commercial,,,0,0
roadtrip busje huren,Routes & roadtrips,roadtrip busje huren,DEMANDGEN,MARKET-DISCOVERED,10,110,0,transactional,,,0,0
busje huren voor roadtrip,Routes & roadtrips,roadtrip busje huren,DEMANDGEN,MARKET-DISCOVERED,10,110,0,transactional,,,0,0
busje huren roadtrip,Routes & roadtrips,roadtrip busje huren,DEMANDGEN,MARKET-DISCOVERED,10,110,0,transactional,,,0,0
ardennen motorroutes,Routes & roadtrips,motorroutes ardennen,CORE,MARKET-DISCOVERED,50,70,0,informational,,,0,0
motorroutes ardennen,Routes & roadtrips,motorroutes ardennen,CORE,MARKET-DISCOVERED,50,70,0,informational,,,0,1
gpx motorroutes,Routes & roadtrips,gpx motorroutes,DEMANDGEN,MARKET-DISCOVERED,30,90,12,navigational,,,0,0
camperplaatsen bij boeren in belgië,Bijzonder overnachten,camperplaatsen bij boeren in belgië,CORE,MARKET-DISCOVERED,110,10,8,informational,,,0,0
de mooiste kerstmarkten,Evenementen & kerstmarkten,mooiste kerstmarkten,DEMANDGEN,MARKET-DISCOVERED,70,50,0,informational,,,0,0
kerstmarkten belgië,Evenementen & kerstmarkten,belgië kerstmarkt,CORE,MARKET-DISCOVERED,50,70,0,informational,,,0,0
duurzame vakantie,Duurzaam reizen,duurzaam op vakantie,CORE,MARKET-DISCOVERED,10,110,2,informational,,,0,0
luxemburg vakantie camping,Substituut-bestemmingen,camping vakantie luxemburg,CORE,MARKET-DISCOVERED,10,110,16,informational,,,0,0
vakantie luxemburg camping,Substituut-bestemmingen,camping vakantie luxemburg,CORE,MARKET-DISCOVERED,10,110,16,informational,,,0,0
vakantie in luxemburg camping,Substituut-bestemmingen,camping vakantie luxemburg,CORE,MARKET-DISCOVERED,10,110,16,informational,,,0,0
camping vakantie luxemburg,Substituut-bestemmingen,camping vakantie luxemburg,CORE,MARKET-DISCOVERED,10,110,16,informational,compare_sites|local_pack|organic|people_also_ask|related_searches,,0,0
vakantie camping luxemburg,Substituut-bestemmingen,camping vakantie luxemburg,CORE,MARKET-DISCOVERED,10,110,16,informational,,,0,0
notre dame de leffe,Uit concurrent- & SERP-analyse,notre dame de leffe,CORE,COMPETITOR-DISCOVERED,70,50,,,,,0,0
notre-dame de leffe,Uit concurrent- & SERP-analyse,notre-dame de leffe,CORE,COMPETITOR-DISCOVERED,70,50,,,,,0,0
kerstmarkt belgië,Uit concurrent- & SERP-analyse,kerstmarkt belgië,DEMANDGEN,SERP-DISCOVERED,50,70,,,,,0,0
safaritent luxemburg,Uit concurrent- & SERP-analyse,safaritent luxemburg,CORE,SERP-DISCOVERED,10,110,,,,,0,0
wandelroutes in houffalize,Wandelen,wandelroutes houffalize,CORE,MARKET-DISCOVERED,70,40,0,informational,,,0,1
wandelroutes houffalize,Wandelen,wandelroutes houffalize,CORE,MARKET-DISCOVERED,70,40,0,informational,,,0,1
wandelroutes la roche en ardenne,Wandelen,wandelroutes la roche-en-ardenne,CORE,MARKET-DISCOVERED,40,70,0,informational,,,0,1
wandelroutes la roche-en-ardenne,Wandelen,wandelroutes la roche-en-ardenne,CORE,MARKET-DISCOVERED,40,70,0,informational,,,0,1
wandelroutes ardennen la roche,Wandelen,wandelroutes ardennen la roche,CORE,MARKET-DISCOVERED,40,70,0,informational,,,0,1
10 mooiste wandelingen belgië,Wandelen,10 mooiste wandelingen belgië,DEMANDGEN,MARKET-DISCOVERED,90,20,0,informational,,,0,1
bewijzerde fietsroutes,Fietsen & mountainbike,bewijzerde fietsroutes,DEMANDGEN,MARKET-DISCOVERED,90,20,0,informational,,,0,0
bewegwijzerde fietsroutes,Fietsen & mountainbike,bewegwijzerde fietsroutes,DEMANDGEN,MARKET-DISCOVERED,90,20,0,informational,,,0,1
fietsvakantie luxemburg,Fietsen & mountainbike,fietsvakantie luxemburg,CORE,MARKET-DISCOVERED,20,90,0,informational,,,0,0
fietsvakantie groepsreis single,Fietsen & mountainbike,fietsvakantie groepsreis single,DEMANDGEN,MARKET-DISCOVERED,20,90,13,transactional,,,0,0
luxemburg fietsvakantie,Fietsen & mountainbike,fietsvakantie luxemburg,CORE,MARKET-DISCOVERED,20,90,0,informational,,,0,0
een dagje weg,Dagje uit,dagje weg,DEMANDGEN,MARKET-DISCOVERED,20,90,53,informational,,,0,0
leukste uitjes voorjaarsvakantie,Dagje uit,leukste uitjes voorjaarsvakantie,DEMANDGEN,MARKET-DISCOVERED,0,110,0,informational,,,0,0
actieve vakantie met kinderen,Gezin & kinderen,actieve vakantie kinderen,DEMANDGEN,MARKET-DISCOVERED,20,90,12,commercial,,,0,0
winter pretparken,Attracties,winter pretpark,DEMANDGEN,MARKET-DISCOVERED,20,90,0,informational,,,0,0
kleine pretparken,Attracties,klein pretpark,DEMANDGEN,MARKET-DISCOVERED,20,90,0,informational,,,0,0
pretparken met water,Attracties,water pretpark,DEMANDGEN,MARKET-DISCOVERED,20,90,38,informational,,,0,0
pretparken vakantie,Attracties,pretpark vakantie,DEMANDGEN,MARKET-DISCOVERED,20,90,5,informational,,,0,0
boshut ardennen,Bijzonder overnachten,boshut ardennen,CORE,MARKET-DISCOVERED,40,70,47,navigational,,,1,1
natuurhuisje in de ardennen,Bijzonder overnachten,natuurhuisje ardennen,CORE,MARKET-DISCOVERED,20,90,0,informational,,,0,1
mooiste motorroutes europa,Routes & roadtrips,mooiste motorroutes europa,DEMANDGEN,MARKET-DISCOVERED,20,90,0,informational,,,0,0
camperplaatsen belgië gratis,Bijzonder overnachten,camperplaatsen belgië gratis,CORE,MARKET-DISCOVERED,90,20,0,informational,,,0,0
goedkope vakantiehuisjes belgië,Uit concurrent- & SERP-analyse,goedkope vakantiehuisjes belgië,DEMANDGEN,SERP-DISCOVERED,40,70,,,,,0,0
wandeling hoëgne 12 km,Uit concurrent- & SERP-analyse,wandeling hoëgne 12 km,CORE,SERP-DISCOVERED,70,40,,,,,0,0
last minute weekendje weg met kinderen,Weekend & korte vakantie,last minute weekendje weg met kinderen,DEMANDGEN,MARKET-DISCOVERED,50,50,,informational,,,0,0
romantisch weekendje weg met jacuzzi,Weekend & korte vakantie,romantische weekendje weg met jacuzzi,DEMANDGEN,MARKET-DISCOVERED,30,70,11,commercial,,,0,0
romantisch weekendje weg jacuzzi,Weekend & korte vakantie,romantische weekendje weg met jacuzzi,DEMANDGEN,MARKET-DISCOVERED,30,70,7,commercial,,,0,0
midweek weg kerstvakantie,Weekend & korte vakantie,kerstvakantie midweek weg,DEMANDGEN,MARKET-DISCOVERED,10,90,6,informational,,,0,0
meivakantie midweek weg,Weekend & korte vakantie,midweek weg meivakantie,DEMANDGEN,MARKET-DISCOVERED,10,90,5,informational,,,0,0
midweek weg meivakantie,Weekend & korte vakantie,midweek weg meivakantie,DEMANDGEN,MARKET-DISCOVERED,10,90,5,informational,,,0,0
weekendje weg durbuy,Weekend & korte vakantie,durbuy weekendje weg,CORE,MARKET-DISCOVERED,50,50,42,informational,,,0,0
durbuy weekendje weg,Weekend & korte vakantie,durbuy weekendje weg,CORE,MARKET-DISCOVERED,50,50,,informational,,,0,0
midweek weg oud en nieuw,Weekend & korte vakantie,midweek weg met oud en nieuw,DEMANDGEN,MARKET-DISCOVERED,10,90,3,informational,,,0,0
midweek weg met oud en nieuw,Weekend & korte vakantie,midweek weg met oud en nieuw,DEMANDGEN,MARKET-DISCOVERED,10,90,3,informational,,,0,0
midweek weg in kerstvakantie,Weekend & korte vakantie,kerstvakantie midweek weg,DEMANDGEN,MARKET-DISCOVERED,10,90,5,informational,,,0,0
kerstvakantie midweek weg,Weekend & korte vakantie,kerstvakantie midweek weg,DEMANDGEN,MARKET-DISCOVERED,10,90,0,informational,,,0,0
mooiste natuurgebieden europa,Natuur,mooiste natuurgebieden europa,DEMANDGEN,MARKET-DISCOVERED,10,90,0,informational,,,0,0
wandelen in natuurgebieden,Natuur,wandel natuurgebied,DEMANDGEN,MARKET-DISCOVERED,30,70,28,informational,,,0,0
natuurgebieden wandelen,Natuur,wandel natuurgebied,DEMANDGEN,MARKET-DISCOVERED,30,70,26,informational,,,0,0
mooie natuurgebieden europa,Natuur,mooiste natuurgebieden europa,DEMANDGEN,MARKET-DISCOVERED,10,90,0,informational,,,0,0
mooie wandelgebieden,Natuur,mooie wandelgebieden,DEMANDGEN,MARKET-DISCOVERED,10,90,34,informational,,,0,0
malmedy wandelroutes,Wandelen,malmedy wandelroutes,CORE,MARKET-DISCOVERED,50,50,0,informational,,,0,1
wandelroutes malmedy,Wandelen,malmedy wandelroutes,CORE,MARKET-DISCOVERED,50,50,0,informational,,,0,1
bewegwijzerde wandelroutes ardennen,Wandelen,bewegwijzerde wandelroutes ardennen,CORE,MARKET-DISCOVERED,70,30,8,informational,,3,0,1
ninglinspo wandelroutes,Wandelen,ninglinspo wandelroutes,CORE,MARKET-DISCOVERED,50,50,0,informational,,,0,0
mooiste wandelingen europa,Wandelen,mooiste wandelingen europa,DEMANDGEN,MARKET-DISCOVERED,50,50,0,informational,,,0,0
begeleide fietsvakantie,Fietsen & mountainbike,begeleide fietsvakantie,DEMANDGEN,MARKET-DISCOVERED,90,10,8,commercial,,,0,0
fietsvakantie vennbahn,Fietsen & mountainbike,fietsvakantie vennbahn,CORE,MARKET-DISCOVERED,10,90,0,informational,,,0,0
vennbahn fietsvakantie,Fietsen & mountainbike,fietsvakantie vennbahn,CORE,MARKET-DISCOVERED,10,90,0,informational,,,0,0
daguitstap koppel,Dagje uit,daguitstap koppel,DEMANDGEN,MARKET-DISCOVERED,90,10,0,informational,,,0,0
leuke uitstapjes in belgië,Dagje uit,leuke uitstapjes in belgie,CORE,MARKET-DISCOVERED,90,10,4,informational,,,0,0
dagje weg alleen,Dagje uit,dagje alleen weg,DEMANDGEN,MARKET-DISCOVERED,10,90,11,informational,,,0,0
dagje weg volwassenen,Dagje uit,dagje weg volwassenen,DEMANDGEN,MARKET-DISCOVERED,10,90,43,informational,,,0,0
dagje weg kerstvakantie,Dagje uit,dagje weg kerstvakantie,DEMANDGEN,MARKET-DISCOVERED,10,90,5,informational,,,0,0
dagje weg kerst,Dagje uit,met kerst dagje weg,DEMANDGEN,MARKET-DISCOVERED,10,90,1,informational,,,0,0
dagje weg met pasen,Dagje uit,pasen dagje weg,DEMANDGEN,MARKET-DISCOVERED,10,90,0,informational,,,0,0
dagje alleen weg,Dagje uit,dagje alleen weg,DEMANDGEN,MARKET-DISCOVERED,10,90,16,informational,,,0,0
dagje weg trein,Dagje uit,dagje weg met de trein,DEMANDGEN,MARKET-DISCOVERED,10,90,29,informational,,,0,0
wat te doen in de ardennen dit weekend,Dagje uit,wat te doen in de ardennen dit weekend,CORE,MARKET-DISCOVERED,70,30,5,informational,,,1,1
vakantie aan zee met kinderen,Gezin & kinderen,vakantie aan zee met kinderen,DEMANDGEN,MARKET-DISCOVERED,30,70,9,informational,,,0,0
vakantie europa met kinderen,Gezin & kinderen,vakantie europa met kinderen,DEMANDGEN,MARKET-DISCOVERED,10,90,22,informational,,,0,0
vakantie in europa met kinderen,Gezin & kinderen,vakantie europa met kinderen,DEMANDGEN,MARKET-DISCOVERED,10,90,22,informational,,,0,0
dagje weg herfstvakantie,Dagje uit,dagje weg herfstvakantie,DEMANDGEN,MARKET-DISCOVERED,10,90,0,informational,,,0,0
pasen dagje weg,Dagje uit,pasen dagje weg,DEMANDGEN,MARKET-DISCOVERED,10,90,0,informational,,,0,0
dagje weg in kerstvakantie,Dagje uit,dagje weg kerstvakantie,DEMANDGEN,MARKET-DISCOVERED,10,90,5,informational,,,0,0
dagje weg met kerst,Dagje uit,met kerst dagje weg,DEMANDGEN,MARKET-DISCOVERED,10,90,5,informational,,,0,0
dagje weg met trein,Dagje uit,dagje weg met de trein,DEMANDGEN,MARKET-DISCOVERED,10,90,10,informational,,,0,0
alleen een dagje weg,Dagje uit,dagje alleen weg,DEMANDGEN,MARKET-DISCOVERED,10,90,16,informational,,,0,0
dagje weg pasen,Dagje uit,pasen dagje weg,DEMANDGEN,MARKET-DISCOVERED,10,90,0,informational,,,0,0
kerstvakantie dagje weg,Dagje uit,dagje weg kerstvakantie,DEMANDGEN,MARKET-DISCOVERED,10,90,5,informational,,,0,0
met kerst dagje weg,Dagje uit,met kerst dagje weg,DEMANDGEN,MARKET-DISCOVERED,10,90,1,informational,,,0,0
alleen dagje weg,Dagje uit,dagje alleen weg,DEMANDGEN,MARKET-DISCOVERED,10,90,16,informational,,,0,0
kerst dagje weg,Dagje uit,met kerst dagje weg,DEMANDGEN,MARKET-DISCOVERED,10,90,0,informational,,,0,0
herfstvakantie dagje weg,Dagje uit,dagje weg herfstvakantie,DEMANDGEN,MARKET-DISCOVERED,10,90,0,informational,,,0,0
dagje weg volwassen,Dagje uit,dagje weg volwassenen,DEMANDGEN,MARKET-DISCOVERED,10,90,43,informational,,,0,0
dagje weg met volwassenen,Dagje uit,dagje weg volwassenen,DEMANDGEN,MARKET-DISCOVERED,10,90,43,informational,,,0,0
dierenparken wallonie,Attracties,dierenpark wallonie,CORE,MARKET-DISCOVERED,90,10,3,navigational,,,0,1
busreizen naar pretparken,Attracties,busreizen pretpark,DEMANDGEN,MARKET-DISCOVERED,30,70,0,commercial,,,0,0
busreizen pretparken,Attracties,busreizen pretpark,DEMANDGEN,MARKET-DISCOVERED,30,70,0,commercial,,,0,0
ticket pretparken,Attracties,pretpark tickets,DEMANDGEN,MARKET-DISCOVERED,70,30,19,transactional,,,0,0
tickets voor pretparken,Attracties,pretpark tickets,DEMANDGEN,MARKET-DISCOVERED,70,30,3,transactional,,,0,0
tickets pretparken,Attracties,pretpark tickets,DEMANDGEN,MARKET-DISCOVERED,70,30,19,transactional,,,0,0
mooiste dorpen belgie,Cultuur & erfgoed,mooiste dorpen belgie,CORE,MARKET-DISCOVERED,50,50,0,informational,,,0,1
ardennen glamping,Bijzonder overnachten,glamping ardennen,CORE,MARKET-DISCOVERED,30,70,6,commercial,,,0,0
glamping vakantie,Bijzonder overnachten,glamping vakantie,DEMANDGEN,MARKET-DISCOVERED,10,90,35,informational,,,0,0
glamping vakanties,Bijzonder overnachten,glamping vakantie,DEMANDGEN,MARKET-DISCOVERED,10,90,37,commercial,,,0,0
vakantie glamping,Bijzonder overnachten,glamping vakantie,DEMANDGEN,MARKET-DISCOVERED,10,90,35,informational,,,0,0
natuurhuisje jacuzzi,Bijzonder overnachten,natuurhuisje met jacuzzi,DEMANDGEN,MARKET-DISCOVERED,10,90,1,transactional,,,0,0
vakantiehuis ardennen natuurhuisje,Bijzonder overnachten,vakantiehuis ardennen natuurhuisje,CORE,MARKET-DISCOVERED,30,70,0,transactional,,,0,1
wellness weekend met massages,Bijzonder overnachten,wellness weekend met massages,DEMANDGEN,MARKET-DISCOVERED,70,30,0,commercial,,,0,0
wellness weekend met massage,Bijzonder overnachten,wellness weekend met massage,DEMANDGEN,MARKET-DISCOVERED,70,30,0,commercial,,,0,0
jachthavens met camperplaatsen,Bijzonder overnachten,camperplaats jachthaven,DEMANDGEN,MARKET-DISCOVERED,10,90,0,navigational,,,0,0
jachthaven camperplaatsen,Bijzonder overnachten,jachthaven camperplaatsen,DEMANDGEN,MARKET-DISCOVERED,10,90,3,navigational,,,0,0
